title,content
Security+,A global certification that validates the baseline skills necessary to perform core security functions.
EnCase,A digital forensics product developed by Guidance Software.
FTK (Forensic Toolkit),A computer forensics software made by AccessData.
Autopsy,A digital forensics platform and graphical interface to The Sleuth Kit.
Volatilty,An open-source memory forensics framework for incident response and malware analysis.
Cuckoo Sandbox,An open source automated malware analysis system.
Wi-Fi Protected Access (WPA),A security standard for users of computing devices equipped with wireless internet connections.
WPA2,A security method added to WPA to provide even stronger data protection.
WPA3,The latest generation of Wi-Fi security.
Wired Equivalent Privacy (WEP),A security algorithm for IEEE 802.11 wireless networks.
War-dialing,A technique to automatically scan a list of telephone numbers to find modems.
Social Engineering Toolkit (SET),An open-source Python-driven tool aimed at penetration testing via social engineering.
PhishMe,A solution that provides phishing defense and security awareness training.
KnowBe4,A provider of security awareness training and simulated phishing platform.
Carbon Black,An endpoint security software company.
CrowdStrike,A cybersecurity technology company that provides endpoint security and threat intelligence.
FireEye,A cybersecurity company that provides hardware software and services to investigate cyber attacks.
Palo Alto Networks,A global cybersecurity leader known for its next-generation firewalls.
Fortinet,A company that develops and markets cybersecurity software and appliances.
Check Point,A provider of software and combined hardware and software products for IT security.
Splunk,A software platform to search analyze and visualize machine-generated data.
LogRhythm,A company that specializes in Security Information and Event Management (SIEM).
QRadar,An enterprise security information and event management product from IBM.
ArcSight,A cybersecurity product that provides big data security analytics and intelligence.
Tenable,A cybersecurity company known for its vulnerability scanner Nessus.
Qualys,A provider of cloud-based security and compliance solutions.
Rapid7,A provider of security data and analytics solutions.
Nessus,A proprietary comprehensive vulnerability scanner.
OpenVAS,A software framework of several services and tools offering vulnerability scanning and management.
Nmap Scripting Engine (NSE),One of Nmap's most powerful and flexible features that allows users to write scripts.
Maltego,An open source intelligence and forensics application.
The Harvester,A tool for gathering subdomain names e-mail addresses and usernames.
Sherlock,A tool to find usernames across social networks.
Honeyd,A small daemon that creates virtual hosts on a network.
Canary Tokens,A simple way to tripwire your infrastructure and get notified of intrusions.
Zero Trust Edge,A security framework that combines Zero Trust principles with software-defined networking.
EDR (Endpoint Detection and Response),Tools used to protect endpoints by monitoring for suspicious behavior in real-time.
XDR (Extended Detection and Response),A cross-platform approach to security that integrates data from endpoints networks and cloud.
SOAR,Security Orchestration Automation and Response tools that help teams streamline incident handling.
SIEM,Security Information and Event Management systems that provide real-time analysis of security alerts.
UEBA,User and Entity Behavior Analytics which looks for anomalies in user patterns to find threats.
Bluejacking,The practice of sending unsolicited messages to Bluetooth-enabled devices.
Bluesnarfing,The theft of information from a wireless device through a Bluetooth connection.
Vishing,Voice phishing where attackers use phone calls to trick victims into giving data.
Smishing,Phishing attempts delivered specifically through SMS or text messages.
Quishing,A phishing attack where a malicious link is embedded in a QR code.
Spear Phishing,A highly targeted phishing attack aimed at a specific individual or organization.
Business Email Compromise (BEC),Scams where attackers impersonate executives to authorize fraudulent wire transfers.
Identity Provider (IdP),A service that stores and manages digital identities for user authentication.
Privileged Access Management (PAM),Tools and policies designed to secure and monitor high-level administrative accounts.
Bastion Host,A hardened server used to access a private network from an external network.
Jump Server,A controlled computer that manages access to devices in different security zones.
Demilitarized Zone (DMZ),A subnetwork that exposes an organization's external services to the untrusted internet.
Air Gap,A security measure that ensures a network is physically isolated from the internet.
Steganography,The art of hiding secret information within a non-secret file such as an image.
Polymorphic Code,Code that uses a mutation engine to change its appearance while keeping the same function.
Metamorphic Code,Code that rewrites itself entirely to evade signature-based detection.
Rootkit,Malware that grants an attacker persistent administrative access while remaining hidden.
Logic Bomb,Malicious code that executes only when certain logical conditions are met.
Worm,Self-replicating malware that spreads across networks without human interaction.
Trojan,Malware disguised as legitimate software to trick users into installing it.
Spyware,Software designed to gather data about a user and send it to a third party.
Adware,Malware that forces unwanted advertisements onto a user's screen.
Keylogger,Software or hardware that records every keystroke made on a device.
Crypto-jacking,The unauthorized use of a person's computer to mine cryptocurrency.
Formjacking,The use of malicious JavaScript to steal credit card info from payment forms.
Clickjacking,A technique that tricks users into clicking something different from what they see.
Cross-Site Request Forgery (CSRF),An attack that forces a logged-in user to perform actions they didn't intend.
Server-Side Request Forgery (SSRF),Attacking a server by forcing it to make requests to internal resources.
Insecure Direct Object Reference (IDOR),A vulnerability where a user can access another user's data by changing an ID.
Broken Access Control,Failures that allow users to act outside of their intended permissions.
Buffer Overflow,Writing more data to a memory buffer than it can hold to overwrite adjacent memory.
Heap Spraying,A technique to facilitate arbitrary code execution by saturating a program's memory.
SQL Map,An open-source tool that automates the detection and exploitation of SQL injection.
Burp Suite,An integrated platform for performing security testing of web applications.
Wireshark,A network protocol analyzer used to capture and inspect data packets.
Metasploit,A framework used by penetration testers to develop and execute exploit code.
Nmap,A network mapper used for discovery and security auditing of open ports.
BloodHound,A tool used to map complex attack paths within Active Directory environments.
Mimikatz,A tool used to extract passwords and hashes from Windows memory.
John the Ripper,A fast password-cracking tool used for security testing.
Hashcat,An advanced password recovery tool that utilizes GPU power.
Evil Twin,A rogue Wi-Fi access point that appears to be a legitimate network.
War Driving,The act of searching for Wi-Fi networks from a moving vehicle.
Blue Team,Defensive security professionals focused on maintaining system integrity.
Red Team,Offensive security experts who simulate real-world attacks.
Purple Team,A collaborative model where red and blue teams share insights to improve security.
White Hat,An ethical hacker who works within the law to find vulnerabilities.
Black Hat,A malicious hacker who exploits systems for personal gain.
Grey Hat,A hacker who finds vulnerabilities without permission but without malicious intent.
Script Kiddie,An amateur hacker who uses pre-made scripts without understanding how they work.
Hacktivist,A hacker who attacks systems for political or social causes.
Cyber Espionage,The use of cyberattacks to steal secrets from governments or corporations.
Advanced Persistent Threat (APT),A prolonged and targeted cyberattack by a highly skilled actor.
Zero Day,A vulnerability that is exploited before the software vendor has a patch.
CVE (Common Vulnerabilities and Exposures),A list of publicly disclosed cybersecurity flaws.
CVSS (Common Vulnerability Scoring System),A numerical score representing the severity of a vulnerability.
DDoS (Distributed Denial of Service),Using multiple systems to flood a target's bandwidth or resources.
Botnet,A network of compromised computers controlled by a central attacker.
Honeypot,A decoy system designed to lure and study attackers.
Honeynet,A network of multiple honeypots to simulate a larger infrastructure.
Intrusion Detection System (IDS),A system that monitors network traffic for suspicious activity.
Intrusion Prevention System (IPS),A system that detects and actively blocks malicious network traffic.
Next-Generation Firewall (NGFW),A firewall that adds application-level inspection and threat intelligence.
Sandboxing,Running suspicious code in an isolated environment to observe its behavior.
Cryptography,The practice of securing communication through mathematical algorithms.
Symmetric Encryption,An encryption method that uses the same key for both locking and unlocking.
Asymmetric Encryption,Encryption that uses a public key to encrypt and a private key to decrypt.
Hashing,Converting data into a fixed-length string of characters that cannot be reversed.
Salt,Random data added to a password before hashing to prevent rainbow table attacks.
Digital Signature,A mathematical way to verify the authenticity and integrity of a message.
Public Key Infrastructure (PKI),A system for managing digital certificates and public-private key pairs.
Certificate Authority (CA),A trusted entity that issues digital certificates.
Transport Layer Security (TLS),A protocol that provides secure communication over a computer network.
Secure Sockets Layer (SSL),The predecessor to TLS used for securing web traffic.
Perfect Forward Secrecy,A feature that ensures session keys are not compromised even if the private key is.
Quantum Cryptography,Encryption methods based on the principles of quantum mechanics.
Post-Quantum Cryptography,Algorithms designed to be secure against attacks from quantum computers.
Secure Boot,A hardware feature that ensures a device boots using only trusted software.
TPM (Trusted Platform Module),A dedicated chip on a motherboard used for cryptographic operations.
Hardening,The process of securing a system by reducing its surface of vulnerability.
Patch Management,The systematic process of updating software to fix security vulnerabilities.
Vulnerability Assessment,The process of identifying and prioritizing flaws in a system.
Penetration Test,A controlled attack on a system to find and exploit weaknesses.
Risk Assessment,The process of identifying and evaluating potential security threats.
Incident Response Plan,A set of instructions to help IT staff detect and recover from a breach.
Data Loss Prevention (DLP),Tools that prevent sensitive data from leaving the corporate network.
Social Engineering,Manipulating people into giving up confidential information.
Tailgating,Following an authorized person into a secure physical area.
Dumpster Diving,Searching through trash to find sensitive documents or hardware.
Pretexting,Creating a fake scenario to trick a victim into sharing data.
Shadow IT,The use of IT systems or software without explicit organizational approval.
Supply Chain Attack,An attack that targets a third-party vendor to reach a larger organization.
Man-in-the-Middle (MitM),An attack where the actor intercepts communication between two parties.
Endpoint,Any device that connects to a network such as a laptop or smartphone.
Infrastructure as Code (IaC) Security,Scanning configuration files like Terraform or CloudFormation for security flaws.
Serverless Security,Protecting event-driven functions from injection and excessive permission risks.
Cloud Workload Protection Platform (CWPP),Security tools specifically designed to protect VMs and containers in the cloud.
Cloud Security Posture Management (CSPM),Automated tools that identify misconfigurations and compliance risks in cloud environments.
Data Sovereignty,The concept that data is subject to the laws of the country where it is located.
Right to be Forgotten,A GDPR requirement allowing individuals to request the deletion of their personal data.
Privacy by Design,An approach that integrates data protection into the development of technologies.
Data Sanitization,The process of permanently erasing data from storage media so it cannot be recovered.
Degaussing,Using a high-powered magnet to disrupt a hard drive's magnetic field and destroy data.
Cryptographic Eradication,Destroying data by deleting the encryption keys used to protect it.
Chain of Custody,A chronological log showing who handled digital evidence during an investigation.
Write Blocker,A hardware device that prevents any data from being written to a suspect drive during forensics.
Slack Space,The unused space in a disk cluster that may contain hidden or deleted data.
RAM Forensics,Analyzing the volatile memory of a computer to find running processes or encryption keys.
Anti-Forensics,Techniques used by attackers to hide or delete evidence of their activity.
Indicator of Compromise (IoC),Evidence such as a file hash or IP address that suggests a system was breached.
Indicator of Attack (IoA),Focuses on the intent and behavior of an attacker rather than file-based evidence.
Traffic Pattern Analysis,Examining the volume and timing of network traffic to detect anomalies.
NetFlow,A protocol for collecting IP traffic information and monitoring network flow.
Packet Injection,The act of interfering with an established network connection by sending forged packets.
DNS Sinkhole,A DNS server that gives out false results to redirect traffic away from malicious domains.
Domain Fronting,A technique used to hide the true destination of traffic by using a different domain.
Fast-Flux DNS,A technique used by botnets to hide phishing sites behind a rapidly changing network of hosts.
Beaconing,The process of a compromised system checking in with a Command and Control server.
Lateral Movement,The process an attacker uses to move deeper into a network after an initial breach.
Pivot,Using a compromised system to attack or scan other systems in the same network.
Living off the Land (LotL),Using legitimate system tools like PowerShell or WMI to carry out an attack.
Fileless Malware,Malware that operates entirely in memory to avoid detection by traditional antivirus.
Process Hollowing,Replacing the code of a legitimate process with malicious code in memory.
DLL Injection,Running malicious code in the address space of another process by loading a library.
API Hooking,Intercepting API calls to change or monitor the behavior of an application.
Exploit Mitigation,Technologies like ASLR and DEP that make it harder to exploit software bugs.
Address Space Layout Randomization (ASLR),Randomly arranging the positions of key data areas to prevent predictable attacks.
Data Execution Prevention (DEP),A security feature that prevents code from running in non-executable memory regions.
Control Flow Guard (CFG),A platform security feature that thwarts attacks that redirect code execution.
Sandbox Escape,The process of breaking out of a restricted virtual environment to access the host.
Side-Channel Attack,An attack based on physical information like power consumption or electromagnetic leaks.
Rowhammer,A hardware exploit where repeated access to a row of memory causes bits to flip.
Spectre,A hardware vulnerability that exploits speculative execution to leak sensitive data.
Meltdown,A vulnerability that allows a program to read the private memory of the operating system.
Microcode Update,A firmware-level patch used to fix hardware vulnerabilities like CPU bugs.
Supply Chain Risk Management (SCRM),The process of identifying risks throughout the lifecycle of a product or service.
Software Bill of Materials (SBOM),A formal list of every component and library used in a piece of software.
Static Application Security Testing (SAST),Analyzing source code for security flaws without executing the program.
Dynamic Application Security Testing (DAST),Testing a running application for vulnerabilities from the outside.
Interactive Application Security Testing (IAST),Combining SAST and DAST to find vulnerabilities in real-time during use.
Web Application Firewall (WAF),A firewall specifically designed to filter and monitor HTTP traffic.
API Gateway,A management tool that sits between a client and a collection of backend services.
JSON Web Token (JWT),A compact way of securely transmitting information between parties as a JSON object.
Credential Harvester,A website or tool designed to trick users into entering their login details.
Password Spraying,Attempting a single common password against many different user accounts.
Brute Force Recovery,Trying every possible combination to recover an encrypted file or password.
Dictionary Attack,Using a list of known words or common passwords to attempt a login.
Rainbow Table,A precomputed table used for reversing cryptographic hash functions.
Key Stretching,A technique used to make a weak password more secure by increasing its computation time.
Bcrypt,A password-hashing function designed to be slow and resistant to brute-force attacks.
Scrypt,A memory-hard password-hashing function designed to prevent hardware acceleration attacks.
Argon2,The winner of the Password Hashing Competition and the current industry standard.
Homomorphic Encryption,A form of encryption that allows computation to be performed on encrypted data.
Zero-Knowledge Proof,A method where one party proves they know a secret without revealing the secret itself.
Diffie-Hellman,A method of securely exchanging cryptographic keys over a public channel.
Elliptic Curve Cryptography (ECC),A powerful public-key cryptography approach based on elliptic curves.
Ephemeral Key,A temporary cryptographic key used for only one session.
Key Escrow,An arrangement where a third party holds a copy of a cryptographic key.
Hardware Security Module (HSM),A physical device that manages digital keys and provides cryptographic processing.
Secure Element (SE),A tamper-resistant chip capable of securely hosting applications and storing data.
Out-of-Band Authentication,Using a separate communication channel to verify a user's identity.
Push-Based Authentication,A login method where a notification is sent to a mobile app for approval.
Behavioral Biometrics,Identifying a person based on how they interact with a device like typing speed.
False Acceptance Rate (FAR),The likelihood that a biometric system will incorrectly identify an unauthorized user.
False Rejection Rate (FRR),The likelihood that a biometric system will fail to identify an authorized user.
Crossover Error Rate (CER),The point where FAR and FRR are equal used to measure biometric accuracy.
Least Privilege,The principle of granting users only the minimum access needed for their job.
Separation of Duties,Dividing a task into multiple steps to prevent any one person from having total control.
Mandatory Access Control (MAC),An access policy where the system determines who can access what based on labels.
Discretionary Access Control (DAC),An access policy where the owner of a file decides who can access it.
Role-Based Access Control (RBAC),Granting permissions based on a user's role within an organization.
Attribute-Based Access Control (ABAC),Granting access based on attributes like user location or time of day.
Directory Service,A database that stores and organizes information about users and network resources.
Active Directory (AD),A Microsoft service used to manage users and computers in a Windows network.
LDAP,The Lightweight Directory Access Protocol used to search and manage directory services.
Kerberos,A network authentication protocol that uses tickets to allow nodes to communicate securely.
Single Sign-On (SSO),An authentication process that allows a user to log in once for multiple systems.
Federated Identity,A system that allows a user to use the same credentials across different organizations.
Security Assertion Markup Language (SAML),An XML-based standard for exchanging authentication data.
OAuth 2.0,A framework that allows applications to gain limited access to user accounts.
OpenID Connect,An identity layer on top of OAuth 2.0 that provides user profile information.
Business Continuity Plan (BCP),A plan to maintain business operations during and after a disaster.
Disaster Recovery Plan (DRP),A plan focused on restoring the IT infrastructure after a major failure.
Recovery Point Objective (RPO),The maximum amount of data loss an organization is willing to accept.
Recovery Time Objective (RTO),The maximum amount of time a system can be down after a failure.
Hot Site,A fully equipped data center that can take over operations immediately.
Cold Site,A backup site that has power and space but no pre-installed computer equipment.
Warm Site,A backup site that has some equipment but requires setup before it is functional.
Full Backup,A complete copy of all selected data.
Incremental Backup,Backing up only the data that has changed since the last backup of any kind.
Differential Backup,Backing up only the data that has changed since the last full backup.
Offsite Storage,Storing backup media in a separate physical location for safety.
Geofencing,Using GPS or RFID to define a virtual geographic boundary for security alerts.